id,k1_SAEM,k2_SAEM,A0_SAEM,peak_SAEM,k1_mean,k2_mean,A0_mean,peak_mean,k1_mode,k2_mode,A0_mode,peak_mode,k1_sd,k2_sd,A0_sd,peak_sd,Vaccine_Group
1,0.574618,0.000190784,0.00754157,67.0902,0.583145,0.000159345,0.00668983,67.082,0.58106,0.000123631,0.00643719,67.1292,0.0308487,0.000110094,0.00249726,0.509362,1ug Pfizer
2,0.639445,0.000197803,0.00924423,67.0008,0.640042,0.00016384,0.0087463,67.0258,0.643472,0.000144562,0.00824952,67.0809,0.0291488,0.00015196,0.00326391,0.498041,1ug Pfizer
3,0.586075,0.00017315,0.00773486,66.9664,0.592656,0.000188389,0.00708719,67.1593,0.591517,0.000125287,0.00677836,67.0651,0.0288334,0.00014692,0.00256059,0.495658,1ug Pfizer
4,0.579769,0.000152809,0.00753301,67.0125,0.584686,0.000188509,0.00680869,66.9987,0.589512,0.000128192,0.00676208,66.9853,0.0303604,0.000163912,0.00225452,0.515124,1ug Pfizer
5,0.61627,0.000195624,0.00821191,66.9229,0.621517,0.000201537,0.00812118,66.9741,0.614991,0.000140417,0.00802576,67.0551,0.0298377,0.000168394,0.00286407,0.432073,1ug Pfizer
6,0.528648,0.000252269,0.00824962,66.9876,0.528918,0.000334193,0.008126,66.9886,0.543911,0.000215685,0.0080412,67.0447,0.0331851,0.000242028,0.00257649,0.455592,0.5ug Pfizer
7,0.520077,0.000253113,0.00840694,67.0997,0.517901,0.000226969,0.00790376,67.0811,0.527723,0.000223623,0.00765437,67.0953,0.0313749,0.000178052,0.00291704,0.502418,0.5ug Pfizer
8,0.50041,0.000201146,0.00735361,67.2513,0.505122,0.000221389,0.00671386,67.2031,0.502676,0.000212487,0.00657359,67.1848,0.0369913,0.00015461,0.00254541,0.55388,0.5ug Pfizer
9,0.516679,0.000303484,0.00768167,66.9692,0.516799,0.000367915,0.00785405,67.0026,0.521978,0.000177462,0.00898564,66.9964,0.0333443,0.000349102,0.0029843,0.583846,0.5ug Pfizer
10,0.495521,0.000252261,0.00703486,67.0785,0.496451,0.000268253,0.00711004,67.0836,0.495648,0.00019449,0.00721692,67.1531,0.0329897,0.000219143,0.00273483,0.522505,0.5ug Pfizer
11,0.468179,0.00130021,0.00877068,67.2657,0.460831,0.0013807,0.00892247,67.2471,0.463344,0.00132971,0.00792727,67.1518,0.0320958,0.000587896,0.00347988,0.526541,0.2ug Pfizer
12,0.390766,0.00353927,0.00594943,66.9501,0.383207,0.00364147,0.0064078,67.103,0.383483,0.00376854,0.00511626,67.0558,0.0190875,0.000942737,0.00252049,0.573767,0.2ug Pfizer
13,0.453698,0.00145654,0.00834463,67.2747,0.457781,0.00140209,0.0075111,67.1752,0.452741,0.00148417,0.00730711,67.1791,0.0287517,0.000531014,0.00278422,0.503612,0.2ug Pfizer
14,0.439742,0.00249925,0.0082105,67.0315,0.439776,0.00241292,0.00786835,67.0359,0.434187,0.00288835,0.00695023,67.0758,0.0331061,0.000806781,0.0033204,0.480878,0.2ug Pfizer
15,0.436621,0.0040871,0.00747973,67.0133,0.436342,0.00411112,0.00734146,67.0066,0.425247,0.00420645,0.00663196,67.1226,0.0274794,0.000891769,0.00258053,0.526675,0.2ug Pfizer
16,0.423908,0.00274244,0.00828976,67.1408,0.429763,0.00263969,0.00801832,67.1297,0.421547,0.00280599,0.00726524,67.0909,0.0262456,0.000798962,0.00320808,0.506337,0.1ug Pfizer
17,0.422495,0.0020986,0.00822754,67.1238,0.424958,0.00201245,0.00715309,67.1247,0.415894,0.0021272,0.0071412,67.1348,0.0260233,0.000633629,0.00273202,0.490992,0.1ug Pfizer
18,0.429148,0.00920267,0.00882654,67.0465,0.434853,0.00928718,0.00752969,67.0298,0.426578,0.0093323,0.00703568,67.1272,0.0242579,0.00139004,0.0024178,0.50341,0.1ug Pfizer
19,0.340676,0.00314107,0.00511789,67.0873,0.337842,0.00309795,0.00563101,67.1113,0.342456,0.00333407,0.00456943,67.1091,0.0159059,0.000958642,0.00244137,0.501335,0.1ug Pfizer
20,0.437937,0.00332119,0.0077582,66.9943,0.430748,0.00329102,0.00787432,67.1626,0.428026,0.00344115,0.0078083,67.0609,0.025901,0.000766163,0.0027267,0.500294,0.1ug Pfizer
21,0.408031,0.00409616,0.00794787,67.2937,0.411159,0.0041882,0.00831686,67.2353,0.402982,0.00421545,0.00716903,67.0911,0.0230946,0.000817754,0.00329141,0.473621,0.05ug Pfizer
22,0.407488,0.002823,0.00808614,67.2182,0.411691,0.0028568,0.00790386,67.1995,0.400384,0.0028761,0.00708909,67.1785,0.0219064,0.000738754,0.00284773,0.512798,0.05ug Pfizer
23,0.415186,0.00394149,0.00864455,67.2202,0.41554,0.00404638,0.0082864,67.211,0.409215,0.00402798,0.00774188,67.1965,0.0228759,0.000884266,0.00306529,0.512645,0.05ug Pfizer
24,0.330713,0.0236763,0.00456351,67.1026,0.321369,0.0229443,0.00548231,67.2102,0.321011,0.0226246,0.00526432,67.1652,0.0118432,0.00308137,0.00171948,0.527716,0.05ug Pfizer
25,0.358081,0.0276451,0.00638876,67.2663,0.35702,0.0288346,0.00703706,67.236,0.357482,0.0281739,0.0061665,67.1126,0.013346,0.00331884,0.00240762,0.536681,0.05ug Pfizer
