parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
k1_pop,0.381221038681878,,0.027236135522551,7.14444712094681,0.331584,0.438288
beta_k1_Vaccine_Group_0_1ug_Pfizer,0.0746720178330097,,0.0710685330532873,95.1742501618466,-0.0646197,0.213964
beta_k1_Vaccine_Group_0_2ug_Pfizer,0.137623551304267,,0.0766099913421353,55.6663380766575,-0.0125293,0.287776
beta_k1_Vaccine_Group_0_5ug_Pfizer,0.296649999467076,,0.102974853225123,34.7125748896391,0.094823,0.498477
beta_k1_Vaccine_Group_1ug_Pfizer,0.453293096319391,,0.0818860840985556,18.0647101761414,0.292799,0.613787
k2_pop,0.00759967010272581,,0.00299199395996817,39.3700505354176,0.00377072,0.0153167
beta_k2_Vaccine_Group_0_1ug_Pfizer,-0.819972809596431,,0.527151591612455,64.2889112227886,-1.85317,0.213225
beta_k2_Vaccine_Group_0_2ug_Pfizer,-1.24882065576801,,0.535163218545396,42.8534886954025,-2.29772,-0.19992
beta_k2_Vaccine_Group_0_5ug_Pfizer,-3.56411023055374,,1.2894594802352,36.1790011201439,-6.0914,-1.03682
beta_k2_Vaccine_Group_1ug_Pfizer,-4.09258764248111,,1.26910167630439,31.0097617246139,-6.57998,-1.60519
A0_pop,0.00700181627796198,,0.00863832260362003,123.372597347476,0.00152457,0.0321568
peak_pop,67.1060274672198,,0.791664842074339,1.17972240639793,65.5724,68.6756
omega_k1,0.0888294973595112,8.90050170376738,0.0234493459741682,26.3981522705953,0.0542377,0.145483
omega_k2,0.765776946637441,89.3046188599102,0.180313604253665,23.5464915789682,0.491195,1.19385
omega_A0,0.394392452991825,41.0237715972364,0.232808032669086,59.0295354038916,0.150428,1.03402
omega_peak,0.00778262912103721,0.778274696964997,0.00714490475459249,91.8057978026873,0.00213572,0.0283602
a,4.44171295022305,,0.363708933555999,8.18848353398737,3.78614,5.2108
