rep,id,k1,k2,A0,peak
1,1,0.335385,0.0135805,0.0447723,70.1789
2,1,0.33662,0.0172554,0.0514738,71.29
3,1,0.340151,0.0160525,0.0743949,69.1076
4,1,0.349963,0.014587,0.0860843,67.4483
5,1,0.281894,0.0164986,0.0967013,70.3017
6,1,0.292283,0.0160772,0.102338,70.1315
7,1,0.306657,0.0160772,0.048641,71.2931
8,1,0.306657,0.0163035,0.0574982,69.388
9,1,0.315006,0.0140028,0.0468656,69.6661
10,1,0.325082,0.0129122,0.0504955,65.3326
11,1,0.326844,0.0131176,0.0967653,65.4666
12,1,0.261492,0.01357,0.0826652,67.0043
13,1,0.282385,0.0101091,0.0848579,67.7461
14,1,0.306148,0.0125538,0.0949986,67.3773
15,1,0.312399,0.0146442,0.0468303,67.7382
16,1,0.290173,0.013074,0.141143,65.0095
17,1,0.290173,0.015591,0.104365,69.9353
18,1,0.333822,0.0156419,0.0586927,68.664
19,1,0.341419,0.0155669,0.0469628,69.5308
20,1,0.31931,0.0155669,0.0832057,66.0153
21,1,0.31931,0.0155669,0.0785445,66.0153
22,1,0.296533,0.0150065,0.0809325,67.3772
23,1,0.306177,0.0150065,0.0867673,67.3772
24,1,0.304052,0.0131319,0.0788927,67.5779
25,1,0.339557,0.0150056,0.0893732,71.3324
26,1,0.289327,0.0163515,0.0893732,71.3324
27,1,0.325503,0.015848,0.0896349,71.2769
28,1,0.315165,0.014208,0.0551223,67.7724
29,1,0.284695,0.0111477,0.0905401,68.9134
30,1,0.348691,0.00828824,0.0574763,68.3873
31,1,0.298893,0.00642855,0.095676,71.9477
32,1,0.276221,0.0138656,0.131456,67.363
33,1,0.316903,0.0124864,0.0770023,68.5589
34,1,0.304509,0.0166173,0.0739864,69.278
35,1,0.363062,0.0145786,0.0753364,67.5994
36,1,0.32847,0.0102419,0.0555827,69.114
37,1,0.32847,0.0161787,0.0555827,69.114
38,1,0.32847,0.0161787,0.0555827,69.114
39,1,0.336891,0.015167,0.0788306,68.8984
40,1,0.336891,0.015167,0.0788306,70.4323
41,1,0.342003,0.0167007,0.0541551,67.0223
42,1,0.281158,0.0159108,0.0971757,71.153
43,1,0.367055,0.0159108,0.0971757,69.976
44,1,0.322997,0.0127873,0.0681279,75.4053
45,1,0.304996,0.013218,0.0520702,69.17
46,1,0.323216,0.0156033,0.0520702,69.17
47,1,0.318427,0.0118571,0.0617159,65.6914
48,1,0.298826,0.0137756,0.129262,66.3312
49,1,0.296803,0.0145829,0.0688276,71.0527
50,1,0.319047,0.0139499,0.0688276,73.2345
51,1,0.314748,0.014388,0.0585695,71.3788
52,1,0.319605,0.0156758,0.0528886,71.3788
53,1,0.351308,0.0156758,0.0528886,68.5738
54,1,0.35676,0.0156758,0.0528886,68.5738
55,1,0.380461,0.0148847,0.0546654,68.5343
56,1,0.36707,0.0156469,0.0630282,69.6584
57,1,0.349694,0.0156469,0.0454286,67.2619
58,1,0.316979,0.0140102,0.0481717,67.8669
59,1,0.3417,0.0129057,0.0483529,63.171
60,1,0.347053,0.0139621,0.0550106,66.5379
61,1,0.407404,0.0126627,0.091949,66.9206
62,1,0.325352,0.0135451,0.0450125,70.3064
63,1,0.338103,0.0179074,0.0633518,69.0357
64,1,0.371613,0.0179074,0.0485392,69.0357
65,1,0.336748,0.011214,0.0504189,70.8931
66,1,0.350321,0.0103134,0.0671979,71.6637
67,1,0.303216,0.019039,0.158833,72.7471
68,1,0.320737,0.0114612,0.195682,69.3628
69,1,0.33828,0.0136891,0.0402783,68.4449
70,1,0.33828,0.0161428,0.0402783,68.4449
71,1,0.321135,0.015139,0.0465027,71.3941
72,1,0.329729,0.015139,0.0648717,72.0781
73,1,0.329729,0.015139,0.0648717,69.8262
74,1,0.314191,0.015139,0.0675754,70.5986
75,1,0.314191,0.0124015,0.0640926,70.7057
76,1,0.287434,0.0159119,0.0778995,68.663
77,1,0.32902,0.0159119,0.0550945,72.0419
78,1,0.324964,0.0170124,0.0433194,66.9446
79,1,0.325272,0.0170124,0.0581293,66.9446
80,1,0.325272,0.0159016,0.0581293,69.5171
81,1,0.29231,0.0149604,0.0528697,70.3765
82,1,0.297514,0.0167272,0.0637628,73.038
83,1,0.306299,0.0143227,0.0834467,71.1841
84,1,0.306299,0.0159716,0.069247,72.5041
85,1,0.328983,0.0150563,0.0700612,72.8341
86,1,0.328983,0.0150563,0.0700612,65.6498
87,1,0.328983,0.0145357,0.0684189,65.5572
88,1,0.297515,0.0106721,0.0811326,68.5879
89,1,0.389852,0.0165292,0.0644896,66.1766
90,1,0.301103,0.0181415,0.0521228,72.7816
91,1,0.34313,0.0129164,0.0828157,69.5646
92,1,0.34313,0.0129164,0.0454931,69.5646
93,1,0.288244,0.0134712,0.0671925,67.2387
94,1,0.294702,0.0108442,0.0755072,68.4722
1,2,0.381511,0.00510952,0.105784,71.9649
2,2,0.366566,0.00282876,0.141993,73.1916
3,2,0.353432,0.00581815,0.0858105,72.5853
4,2,0.330166,0.00529748,0.0831981,72.5853
5,2,0.330166,0.00510676,0.106162,72.0291
6,2,0.329979,0.00491159,0.0739505,72.0326
7,2,0.329979,0.00491159,0.0719976,71.3178
8,2,0.324504,0.00446702,0.0719976,72.6331
9,2,0.358284,0.00514694,0.0820289,70.4622
10,2,0.358284,0.0040895,0.0820289,70.4622
11,2,0.37326,0.00310472,0.107101,70.4622
12,2,0.327171,0.00378037,0.131388,70.6776
13,2,0.327171,0.00378037,0.122987,70.6776
14,2,0.344049,0.00454357,0.0714286,69.5484
15,2,0.347195,0.00350456,0.0714286,68.6056
16,2,0.327917,0.00350456,0.0754667,68.6084
17,2,0.351992,0.00412999,0.0598193,70.517
18,2,0.363636,0.00271929,0.14869,67.7298
19,2,0.353052,0.00625105,0.0940781,71.3054
20,2,0.353052,0.00470028,0.0860805,68.6528
21,2,0.325539,0.00469236,0.113414,70.2151
22,2,0.325539,0.00430109,0.0937944,70.2151
23,2,0.394594,0.00591153,0.0742146,72.984
24,2,0.316055,0.0046677,0.153822,72.9215
25,2,0.307663,0.00548287,0.0835951,72.9215
26,2,0.307663,0.00548287,0.0907616,73.0948
27,2,0.316142,0.00420534,0.146127,76.6528
28,2,0.326453,0.00472919,0.136328,76.6528
29,2,0.373378,0.00410051,0.0901183,71.4806
30,2,0.354143,0.00441409,0.0808305,69.4884
31,2,0.323553,0.00366237,0.073342,70.0162
32,2,0.274636,0.00319126,0.172554,75.3316
33,2,0.402248,0.00485002,0.10295,73.1123
34,2,0.402248,0.0058858,0.10295,73.1123
35,2,0.363987,0.00450566,0.0846027,68.3923
36,2,0.363987,0.00450566,0.0846027,68.3923
37,2,0.304721,0.00453661,0.101333,69.1374
38,2,0.292799,0.00453661,0.159718,76.3315
39,2,0.345005,0.00454887,0.152937,71.169
40,2,0.282278,0.00475111,0.289516,71.169
41,2,0.304028,0.00396688,0.124373,67.9735
42,2,0.312171,0.00435556,0.121464,68.1688
43,2,0.299228,0.00435556,0.121464,68.1688
44,2,0.30647,0.00463806,0.100216,70.0229
45,2,0.429753,0.00361436,0.218663,69.7413
46,2,0.392089,0.00383851,0.218663,69.7413
47,2,0.368419,0.00481998,0.0696376,69.7413
48,2,0.363542,0.00376212,0.101708,72.3551
49,2,0.348013,0.00318373,0.0939656,69.6563
50,2,0.297421,0.00504501,0.103791,68.2139
51,2,0.370351,0.00623519,0.0674465,69.4016
52,2,0.379788,0.00345333,0.100283,64.741
53,2,0.317535,0.00391581,0.100283,71.5268
54,2,0.317093,0.00353501,0.105693,69.5807
55,2,0.31773,0.00324454,0.105693,69.6769
56,2,0.374487,0.00342803,0.130508,69.68
57,2,0.310693,0.00543495,0.108378,72.2732
58,2,0.4521,0.00473459,0.0821277,69.9266
59,2,0.366924,0.00504133,0.14788,70.3042
60,2,0.318584,0.00539534,0.0725984,71.6152
61,2,0.396097,0.00552627,0.0725984,71.6152
62,2,0.368027,0.00500736,0.0885098,68.0234
63,2,0.425433,0.00420544,0.10809,70.2033
64,2,0.326295,0.00348722,0.0830863,68.6721
65,2,0.326295,0.00522452,0.0727629,70.0731
66,2,0.358072,0.00523897,0.0813215,71.4583
67,2,0.359898,0.0066068,0.166237,71.4559
68,2,0.295534,0.00448821,0.182971,74.6383
69,2,0.336987,0.00325923,0.074912,70.4427
70,2,0.295465,0.00340737,0.0829804,70.2131
71,2,0.349849,0.00500202,0.120949,74.2054
72,2,0.344305,0.00321161,0.0937935,66.7655
73,2,0.363134,0.00499535,0.0744582,66.5825
74,2,0.375866,0.00401054,0.111426,64.919
75,2,0.42289,0.00352181,0.0955971,66.711
76,2,0.421876,0.00352181,0.0955971,66.711
77,2,0.329773,0.00511467,0.0786894,73.1159
78,2,0.304962,0.0033461,0.128733,72.0205
79,2,0.278909,0.0044455,0.182822,67.084
80,2,0.288935,0.0059635,0.141012,71.0829
81,2,0.536492,0.00292502,0.150088,67.2464
82,2,0.547878,0.00219875,0.133802,68.4567
83,2,0.422667,0.00374008,0.0798233,67.532
84,2,0.336516,0.00374008,0.0779514,63.8001
85,2,0.360883,0.00334229,0.166469,69.9608
86,2,0.407518,0.00405509,0.125286,73.9835
87,2,0.316233,0.00296382,0.106076,67.9582
88,2,0.460102,0.00470661,0.185626,68.9628
89,2,0.359458,0.00565913,0.0855666,68.9628
90,2,0.368384,0.00476634,0.0905868,71.7301
91,2,0.325272,0.00476634,0.109202,71.7301
92,2,0.317076,0.00591761,0.0731055,70.5464
93,2,0.317076,0.00489256,0.102228,73.0927
94,2,0.313603,0.00516834,0.102942,66.9297
1,3,0.411987,0.00724212,0.101501,68.8389
2,3,0.335279,0.00637464,0.12325,71.9107
3,3,0.367314,0.00489739,0.128729,71.155
4,3,0.347982,0.0104612,0.106256,73.2268
5,3,0.401657,0.00897605,0.0995869,69.4816
6,3,0.388124,0.00697242,0.0992644,75.6207
7,3,0.388124,0.00697242,0.0992644,66.2328
8,3,0.399469,0.00495146,0.269927,65.7643
9,3,0.379042,0.00635537,0.132789,69.8033
10,3,0.352078,0.00891734,0.146003,71.8764
11,3,0.410548,0.00681031,0.109811,72.2176
12,3,0.410549,0.00681031,0.164556,71.1332
13,3,0.375203,0.00545623,0.0876538,72.118
14,3,0.354651,0.00907205,0.125369,71.229
15,3,0.347525,0.00973829,0.0932327,73.0172
16,3,0.455756,0.0069653,0.134227,73.3634
17,3,0.418969,0.0094779,0.13805,67.1761
18,3,0.320471,0.00660629,0.104495,70.6668
19,3,0.307398,0.00608813,0.123658,71.0865
20,3,0.326399,0.00805515,0.0730644,69.7062
21,3,0.414547,0.00512479,0.0851818,74.1369
22,3,0.409758,0.00675776,0.146402,71.92
23,3,0.408736,0.00861016,0.0982979,66.6615
24,3,0.380563,0.00682778,0.124223,73.0655
25,3,0.385535,0.00624173,0.179747,65.5782
26,3,0.306376,0.00608827,0.127986,63.7733
27,3,0.34339,0.00634562,0.100334,68.0534
28,3,0.341237,0.00687464,0.137411,70.1533
29,3,0.322318,0.00861522,0.128214,70.8305
30,3,0.357844,0.00973058,0.10992,72.4623
31,3,0.413065,0.00603677,0.227693,70.5409
32,3,0.409648,0.00622321,0.0903626,69.7235
33,3,0.413334,0.00692653,0.0871347,67.3453
34,3,0.325604,0.00692653,0.114069,75.1943
35,3,0.376995,0.00975554,0.0770938,71.171
