rep,id,k1,k2,A0,peak,Vaccine_Group
1,1,0.573407,0.000416871,0.00896873,66.9707,1ug Pfizer
2,1,0.529767,0.000176479,0.00785554,66.7842,1ug Pfizer
3,1,0.620882,0.000169732,0.00428574,66.9972,1ug Pfizer
4,1,0.553453,0.000130475,0.0099291,67.475,1ug Pfizer
5,1,0.527601,0.00012366,0.0145969,66.3619,1ug Pfizer
6,1,0.550008,0.000231152,0.0111064,66.6236,1ug Pfizer
7,1,0.516213,0.000387994,0.00872772,67.4169,1ug Pfizer
8,1,0.555544,0.000153451,0.00688865,67.6047,1ug Pfizer
9,1,0.586006,0.000419359,0.00440942,67.4483,1ug Pfizer
10,1,0.602267,7.22628e-05,0.004069,68.0972,1ug Pfizer
11,1,0.592058,7.06705e-05,0.00585387,66.8969,1ug Pfizer
12,1,0.536886,0.000129863,0.00449582,66.2522,1ug Pfizer
13,1,0.551799,3.54309e-05,0.00876631,66.8969,1ug Pfizer
14,1,0.565284,0.0001596,0.00475501,68.0216,1ug Pfizer
15,1,0.520702,9.29252e-05,0.0116966,66.5647,1ug Pfizer
16,1,0.614892,9.95415e-05,0.00573289,67.5917,1ug Pfizer
17,1,0.607746,4.74617e-05,0.0065228,67.3204,1ug Pfizer
18,1,0.570081,8.68711e-05,0.0131229,66.7234,1ug Pfizer
19,1,0.589743,0.000104742,0.00544677,66.8381,1ug Pfizer
20,1,0.526279,8.60308e-05,0.0106539,67.587,1ug Pfizer
21,1,0.65009,0.00011128,0.00360682,67.0591,1ug Pfizer
22,1,0.565666,5.16885e-05,0.00999071,67.7356,1ug Pfizer
23,1,0.58055,0.000165233,0.00534133,67.4493,1ug Pfizer
24,1,0.55383,2.36694e-05,0.0101335,66.4899,1ug Pfizer
25,1,0.58055,8.64349e-05,0.00763696,67.4493,1ug Pfizer
26,1,0.586882,0.000106078,0.00623874,66.7396,1ug Pfizer
27,1,0.62773,0.000112247,0.00430129,67.1234,1ug Pfizer
28,1,0.57637,5.13065e-05,0.00850077,65.7497,1ug Pfizer
29,1,0.612345,6.96485e-05,0.00552196,66.6777,1ug Pfizer
30,1,0.584713,7.04086e-05,0.00871813,67.4033,1ug Pfizer
31,1,0.575551,2.88449e-05,0.00486322,66.759,1ug Pfizer
32,1,0.578389,0.000235858,0.00697932,66.8835,1ug Pfizer
33,1,0.632292,0.000457862,0.00654381,66.8057,1ug Pfizer
34,1,0.579814,3.99162e-05,0.00637475,66.2647,1ug Pfizer
35,1,0.621339,0.000136507,0.00403004,66.3746,1ug Pfizer
36,1,0.571147,9.63762e-05,0.00904209,67.2751,1ug Pfizer
37,1,0.545269,1.10552e-05,0.00910368,67.1135,1ug Pfizer
38,1,0.63187,0.000114621,0.00490279,66.5912,1ug Pfizer
39,1,0.568827,0.00011567,0.0053141,66.2535,1ug Pfizer
40,1,0.576745,0.000388135,0.00698,67.0481,1ug Pfizer
41,1,0.594607,0.000109666,0.00560205,66.0174,1ug Pfizer
42,1,0.592077,0.000119458,0.00535612,68.3119,1ug Pfizer
43,1,0.553338,0.000129912,0.00758614,67.039,1ug Pfizer
44,1,0.570267,9.42728e-05,0.00827692,66.5758,1ug Pfizer
45,1,0.57055,0.000314542,0.00707269,66.7387,1ug Pfizer
46,1,0.51435,0.000338726,0.0111792,67.7345,1ug Pfizer
47,1,0.584165,0.000154288,0.00834069,66.8336,1ug Pfizer
48,1,0.660166,0.000163452,0.00244519,66.8753,1ug Pfizer
49,1,0.541705,0.000268375,0.00789884,67.4296,1ug Pfizer
50,1,0.660166,0.000123258,0.00244519,68.2816,1ug Pfizer
51,1,0.5746,0.000101936,0.00666105,66.4377,1ug Pfizer
52,1,0.617067,6.52561e-05,0.00491414,67.0746,1ug Pfizer
53,1,0.604278,8.66204e-05,0.00419164,67.4667,1ug Pfizer
54,1,0.62466,6.6021e-05,0.00885542,66.5591,1ug Pfizer
55,1,0.604278,9.75538e-05,0.00482269,67.437,1ug Pfizer
56,1,0.557219,0.000110991,0.00660878,66.4222,1ug Pfizer
57,1,0.604278,0.000104174,0.00542252,66.6228,1ug Pfizer
58,1,0.603885,0.000212854,0.00513977,67.142,1ug Pfizer
59,1,0.599658,6.19913e-05,0.00537504,66.82,1ug Pfizer
60,1,0.549015,0.000117543,0.00778367,67.6302,1ug Pfizer
61,1,0.5694,8.82391e-05,0.0060838,66.258,1ug Pfizer
62,1,0.608943,0.000274818,0.00574765,67.0315,1ug Pfizer
63,1,0.603502,4.82199e-05,0.00504803,67.7381,1ug Pfizer
64,1,0.558481,3.5075e-05,0.0114195,67.5936,1ug Pfizer
65,1,0.608496,0.000433727,0.00395113,66.91,1ug Pfizer
66,1,0.66395,6.5595e-05,0.00274796,67.182,1ug Pfizer
67,1,0.608496,0.000169388,0.00395113,66.91,1ug Pfizer
68,1,0.56592,0.00026152,0.010152,67.5475,1ug Pfizer
69,1,0.630342,7.50348e-05,0.00465413,66.9996,1ug Pfizer
70,1,0.509849,0.000104188,0.0116918,66.0444,1ug Pfizer
71,1,0.5731,0.000109759,0.00439368,66.6519,1ug Pfizer
72,1,0.583749,0.000246623,0.00537868,66.9625,1ug Pfizer
73,1,0.602717,0.00015662,0.00740965,66.7519,1ug Pfizer
74,1,0.565793,7.10173e-05,0.00608419,67.2694,1ug Pfizer
75,1,0.601617,0.000308873,0.00540344,66.6376,1ug Pfizer
76,1,0.565793,0.000171627,0.00555161,66.9867,1ug Pfizer
77,1,0.56774,0.000169767,0.00503251,66.9696,1ug Pfizer
78,1,0.582213,0.000136244,0.00952203,67.5068,1ug Pfizer
79,1,0.56774,0.000245805,0.00545807,66.9696,1ug Pfizer
80,1,0.582213,9.10026e-05,0.00481333,67.5068,1ug Pfizer
81,1,0.568096,8.01016e-05,0.00844748,67.2896,1ug Pfizer
82,1,0.59757,0.00015959,0.00661458,66.9954,1ug Pfizer
83,1,0.608957,4.57494e-05,0.00509367,66.4532,1ug Pfizer
84,1,0.589758,0.000126817,0.00363257,66.9838,1ug Pfizer
85,1,0.613932,7.36726e-05,0.0033318,66.346,1ug Pfizer
86,1,0.579431,0.000309743,0.00846558,66.1324,1ug Pfizer
87,1,0.613932,0.00021966,0.0042936,66.6867,1ug Pfizer
88,1,0.582133,8.18725e-05,0.00713991,67.5073,1ug Pfizer
89,1,0.606141,0.000171226,0.00480954,67.6726,1ug Pfizer
90,1,0.594521,0.000429233,0.00388406,67.5257,1ug Pfizer
91,1,0.606141,0.000171226,0.00480954,67.6726,1ug Pfizer
92,1,0.590924,5.03097e-05,0.00548637,66.771,1ug Pfizer
93,1,0.590678,6.42098e-05,0.00959634,67.9344,1ug Pfizer
94,1,0.601615,8.27709e-05,0.0060692,66.8918,1ug Pfizer
95,1,0.577552,0.000217755,0.00436858,66.6064,1ug Pfizer
96,1,0.586813,0.0001303,0.0049095,67.2818,1ug Pfizer
97,1,0.587026,0.000237688,0.00659414,67.6503,1ug Pfizer
98,1,0.631472,9.06728e-05,0.00470814,67.2166,1ug Pfizer
99,1,0.628499,0.000193646,0.00357827,66.2218,1ug Pfizer
100,1,0.599441,0.00040482,0.00598038,67.1524,1ug Pfizer
1,2,0.640095,3.80575e-05,0.00598407,67.2112,1ug Pfizer
2,2,0.604359,0.000224232,0.0123977,67.4744,1ug Pfizer
3,2,0.62886,0.000161302,0.0164548,67.1569,1ug Pfizer
4,2,0.706144,4.70909e-05,0.0037647,66.7259,1ug Pfizer
5,2,0.617539,0.000123372,0.0158321,67.0862,1ug Pfizer
6,2,0.587725,0.000264993,0.0139764,66.9936,1ug Pfizer
7,2,0.582868,9.8852e-05,0.0117764,66.3049,1ug Pfizer
8,2,0.647643,5.72913e-05,0.0103651,67.1247,1ug Pfizer
9,2,0.613563,8.37936e-05,0.00702772,66.9432,1ug Pfizer
10,2,0.652406,0.000289845,0.00613108,66.1097,1ug Pfizer
11,2,0.652831,9.55166e-05,0.00728455,66.772,1ug Pfizer
12,2,0.683361,9.36921e-05,0.00428507,67.2165,1ug Pfizer
13,2,0.618887,9.55166e-05,0.0139698,66.772,1ug Pfizer
14,2,0.664809,9.2565e-05,0.00624641,66.9972,1ug Pfizer
15,2,0.648439,0.000121991,0.00822698,68.1981,1ug Pfizer
16,2,0.641903,0.000194437,0.00721616,66.9972,1ug Pfizer
17,2,0.650419,0.000265203,0.00737342,67.5577,1ug Pfizer
18,2,0.655581,6.64927e-05,0.0137045,67.0605,1ug Pfizer
19,2,0.650419,0.000122187,0.00737342,67.3686,1ug Pfizer
20,2,0.642732,0.00018361,0.00655247,66.5111,1ug Pfizer
21,2,0.650419,0.000117988,0.00737342,67.7485,1ug Pfizer
22,2,0.657459,0.000136475,0.00655247,66.518,1ug Pfizer
23,2,0.648756,0.000213575,0.00571632,66.2437,1ug Pfizer
24,2,0.645344,7.75481e-05,0.00588995,67.0755,1ug Pfizer
25,2,0.677307,0.000128752,0.00393084,66.6241,1ug Pfizer
26,2,0.640146,0.000846785,0.00588453,67.8063,1ug Pfizer
27,2,0.677307,0.000193557,0.00378399,67.4295,1ug Pfizer
28,2,0.69097,0.0012985,0.00432671,67.7645,1ug Pfizer
29,2,0.644861,0.000235666,0.00764675,68.0594,1ug Pfizer
30,2,0.666837,2.59034e-05,0.00556821,66.7731,1ug Pfizer
31,2,0.626547,3.711e-05,0.0123264,66.9375,1ug Pfizer
32,2,0.642912,8.59539e-05,0.00765684,67.7109,1ug Pfizer
33,2,0.626547,8.75542e-05,0.0102376,66.4723,1ug Pfizer
34,2,0.640564,9.31332e-05,0.00708077,66.4848,1ug Pfizer
